Marca temporal,Fecha de Nacimiento,Situación laboral en la qué se encuentra,Horas que le dedica a dicho trabajo por día. (0 si no es empleado) Coloque punto (.) para separar (Ejemplo: 1.5),Días laborales en los que tiene qué desempeñar las horas de trabajo. (0 si no es empleado) ,Tiempo en minutos para llegar a su trabajo en el mejor de los casos (tráfico moderado) Coloque punto (.) para separar (Ejemplo: 30.5)  (0 si no es empleado) ,Distrito de residencia,Distrito donde labura,Nivel de estudios TERMINADOS,Creencia religiosa,¿A cuántos de los siguientes dispositivos inteligentes cuenta con acceso?,¿Tiene conocimiento sobre el concepto de Inteligencia Artificial?,¿Las personas con las que se relaciona (Amigos/Familiares) saben acerca de las Inteligencias Artificiales?,¿Es consciente sobre las capacidades de una Inteligencia Artificial frente al propio ser humano?,¿Conoce alguna Inteligencia Artificial o ha escuchado hablar de alguna?,¿Ha usado alguna Inteligencia Artificial para realizar alguna de estas tareas?,¿Divulgó o divulgaría el tema sobre la Inteligencia Artificial?,¿Cree qué las Inteligencias Artificiales podrían reemplazar a los trabajadores de empleos como Call Center?,¿Cree qué las Inteligencias Artificiales podrían reemplazar a los trabajadores de empleos como contabilidad y cálculo de impuestos?,"¿Cree qué las Inteligencias Artificiales podrían reemplazar a los trabajadores de empleos como Marketing, estudio de mercado y publicidad?",¿Cree que la automatización (Inteligencias Artificiales a cargo de trabajos humanos) será un problema para los trabajadores a finales de esta década?,Cual es su opinión acerca del avance de estas tecnologías.
21/05/2023 14:39:41,15/05/1996,Empleado de tiempo completo,8,5,60,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Pregrado (Bachiller),Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Armar presentaciones, Consultar definiciones, Programar",Si,Sí,No,No,Sí,"Parcialmente de acuerdo, no todos los empleos deberían ser automatizados."
21/05/2023 14:42:01,31/10/1996,Empleado de tiempo completo,8,5,65,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Diplomado,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones",Si,Sí,Sí,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
21/05/2023 14:46:22,28/06/1980,Empleado de tiempo completo,8,5,25,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Diplomado,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,Organizar horarios,Si,No,No,No,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
21/05/2023 14:49:00,11/01/1985,Empleado de tiempo completo,9,8,40,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Master,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,No,No del todo,Sí,"Obtener información, Consultar definiciones",Si,No,Sí,No,No,"Parcialmente de acuerdo, no todos los empleos deberían ser automatizados."
21/05/2023 14:51:11,14/05/1992,Empleado de tiempo completo,8,5,2,"Lima Norte (Ancón, Carabayllo, Santa Rosa, Puente Piedra, Comas, Los Olivos, Independencia, San Martín de Porres)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Licenciado,Ninguna,"Laptop O Computadora, Smartphone",No del todo,Tal vez,No del todo,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones",Si,Sí,No,No,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
21/05/2023 14:52:01,15/10/1991,Empleado de tiempo completo,10,5,40,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Master,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Consultar definiciones",Si,Sí,Sí,Sí,No,Completamente de acuerdo con respecto a la automatización.
21/05/2023 14:55:06,7/04/1987,Empleado de tiempo completo,10,5,10,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Master,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea",Si,Sí,No,No,No,Completamente de acuerdo con respecto a la automatización.
21/05/2023 15:05:10,20/07/1985,Empleado de tiempo completo,8,5,1.45,"Lima Norte (Ancón, Carabayllo, Santa Rosa, Puente Piedra, Comas, Los Olivos, Independencia, San Martín de Porres)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Diplomado,Cristiano,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea",Si,Sí,No,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos deberían ser automatizados."
21/05/2023 15:05:17,21/11/1998,Empleado de tiempo completo,8,5,1.5,"Lima Norte (Ancón, Carabayllo, Santa Rosa, Puente Piedra, Comas, Los Olivos, Independencia, San Martín de Porres)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Diplomado,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,Obtener información,Si,Sí,Sí,Sí,Sí,Completamente de acuerdo con respecto a la automatización.
21/05/2023 15:09:40,12/12/1993,Empleado de tiempo completo,8,5,40.5,"Lima Este (Chosica, San Juan de Lurigancho, Ate, Santa Anita, Cieneguilla, El Agustino)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Titulado ,Católico,"Laptop O Computadora, Tableta, Smartphone",No del todo,Tal vez,Si,No del todo,"Organizar horarios, Obtener información, Realizar alguna tarea, Consultar definiciones",Si,Sí,No,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
21/05/2023 16:46:24,19/09/1975,Empleado de tiempo completo,8,5,1.50,"Lima Norte (Ancón, Carabayllo, Santa Rosa, Puente Piedra, Comas, Los Olivos, Independencia, San Martín de Porres)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Diplomado,Católico,"Laptop O Computadora, Smartphone",Sí,Tal vez,Si,Sí,Consultar definiciones,Si,Sí,No,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
21/05/2023 15:15:46,2/12/1978,Empleado de tiempo completo,8,5,20,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Master,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar, Otros",Si,Sí,Sí,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
21/05/2023 16:25:10,26/07/2001,Empleado de medio tiempo,8,5,35,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Secundaria completa,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,No del todo,Sí,"Obtener información, Armar presentaciones",Si,Sí,Sí,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos deberían ser automatizados."
21/05/2023 16:32:24,22/09/1997,Empleado de tiempo completo,8,5,90,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Diplomado,Católico,"Laptop O Computadora, Smartphone",Sí,Tal vez,No del todo,Sí,Ninguna,Si,Sí,No,No,No,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
21/05/2023 17:40:32,11/03/1992,Empleado de tiempo completo,9,5,60,"Lima Este (Chosica, San Juan de Lurigancho, Ate, Santa Anita, Cieneguilla, El Agustino)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Diplomado,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,Obtener información,Si,Sí,No,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
21/05/2023 17:45:22,14/10/1993,Empleado de tiempo completo,9,5,60,"Lima Este (Chosica, San Juan de Lurigancho, Ate, Santa Anita, Cieneguilla, El Agustino)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Diplomado,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,Obtener información,Si,Sí,No,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
21/05/2023 18:08:38,8/01/1989,Empleado de tiempo completo,8,5,40,"Lima Sur (San Juan de Miraflores, Villa María del Triunfo, Villa el Salvador, Pachacamac, Lurín, Punta Negra, Punta Hermosa, San Bartolo)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Pregrado (Bachiller),Católico,"Laptop O Computadora, Smartphone",No del todo,Tal vez,Si,No,"Organizar horarios, Obtener información, Consultar definiciones",Si,No,Sí,No,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
21/05/2023 18:23:32,13/01/1986,Empleado de tiempo completo,9,5,30,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Diplomado,Católico,"Laptop O Computadora, Smartphone",No del todo,Tal vez,No del todo,No del todo,Ninguna,Si,No,Sí,Sí,Sí,Completamente de acuerdo con respecto a la automatización.
21/05/2023 20:47:29,7/03/1990,Empleado de tiempo completo,10,5,50,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Master,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,Otros,Si,Sí,Sí,No,No,Completamente de acuerdo con respecto a la automatización.
21/05/2023 20:58:35,14/05/1987,Empleado de tiempo completo,9,5,40,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Master,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,No del todo,Sí,"Obtener información, Consultar definiciones",Si,No,No,No,Sí,"Parcialmente de acuerdo, no todos los empleos deberían ser automatizados."
21/05/2023 23:49:49,25/01/1978,Empleado de tiempo completo,9,5,1,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Diplomado,Cristiano,Laptop O Computadora,No del todo,Tal vez,No del todo,No del todo,Ninguna,Si,Sí,No,No,No,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
22/05/2023 5:41:10,1/12/1990,Empleado de tiempo completo,9,5,30,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Master,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,Obtener información,Si,Sí,Sí,Sí,No,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
23/05/2023 9:46:35,12/08/2004,Desempleado,0,0,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",No Laburo,Secundaria completa,Ninguna,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,No del todo,Sí,"Realizar alguna tarea, Consultar definiciones, Otros",Si,Sí,Sí,Sí,No,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
23/05/2023 9:51:31,18/02/0003,Desempleado,0,0,0,"Lima Este (Chosica, San Juan de Lurigancho, Ate, Santa Anita, Cieneguilla, El Agustino)",No Laburo,Secundaria completa,Cristiano,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Realizar alguna tarea, Consultar definiciones",Si,Sí,Sí,Sí,No,Completamente de acuerdo con respecto a la automatización.
23/05/2023 9:52:15,3/05/2002,Desempleado,0,0,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",No Laburo,Secundaria completa,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Realizar alguna tarea",Si,Sí,Sí,Sí,Sí,Completamente de acuerdo con respecto a la automatización.
23/05/2023 9:56:49,17/04/2006,Desempleado,0,0,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",No Laburo,Pregrado (Bachiller),Católico,"Laptop O Computadora, Smartphone",Sí,Tal vez,Si,Sí,"Organizar horarios, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,Sí,No,No,Sí,Completamente de acuerdo con respecto a la automatización.
23/05/2023 9:57:08,12/04/2006,Desempleado,0,0,0,"Lima Sur (San Juan de Miraflores, Villa María del Triunfo, Villa el Salvador, Pachacamac, Lurín, Punta Negra, Punta Hermosa, San Bartolo)",No Laburo,Secundaria completa,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,No,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,Sí,Sí,Sí,Sí,Completamente de acuerdo con respecto a la automatización.
23/05/2023 10:04:39,14/01/2003,Desempleado,0,0,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",No Laburo,Secundaria completa,Cristiano,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Armar presentaciones",Si,Sí,Sí,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
23/05/2023 10:08:40,22/07/0097,Desempleado,0,0,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Secundaria completa,Cristiano,"Laptop O Computadora, Smartphone",Sí,Tal vez,Si,Sí,"Organizar horarios, Realizar alguna tarea, Consultar definiciones, Programar",Si,Sí,Sí,Sí,No,Completamente de acuerdo con respecto a la automatización.
23/05/2023 10:12:03,25/06/2005,Desempleado,0,0,0,"Lima Este (Chosica, San Juan de Lurigancho, Ate, Santa Anita, Cieneguilla, El Agustino)",No Laburo,Secundaria completa,Cristiano,"Laptop O Computadora, Smartphone",Sí,Tal vez,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,Sí,Sí,Sí,Sí,Completamente de acuerdo con respecto a la automatización.
23/05/2023 10:12:08,23/11/2004,Desempleado,0,0,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",No Laburo,Pregrado (Bachiller),No,"Laptop O Computadora, Smartphone",No del todo,Tal vez,No del todo,Sí,"Realizar alguna tarea, Consultar definiciones, Programar, Otros",Si,Sí,Sí,Sí,No,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
23/05/2023 10:12:16,27/07/2004,Desempleado,0,0,0,"Lima Este (Chosica, San Juan de Lurigancho, Ate, Santa Anita, Cieneguilla, El Agustino)",No Laburo,Secundaria completa,Ninguna,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,No,Sí,No,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
23/05/2023 10:16:16,23/05/2023,Desempleado,0,0,0,"Lima Sur (San Juan de Miraflores, Villa María del Triunfo, Villa el Salvador, Pachacamac, Lurín, Punta Negra, Punta Hermosa, San Bartolo)",No Laburo,Secundaria completa,Ateo,"Laptop O Computadora, Tableta, Smartphone",No del todo,Tal vez,Si,Sí,Programar,No,Sí,Sí,No,Sí,Completamente de acuerdo con respecto a la automatización.
23/05/2023 10:19:28,23/04/2006,Desempleado,0,0,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",No Laburo,Secundaria completa,Cristiano,"Laptop O Computadora, Smartphone",No del todo,Tal vez,No del todo,Sí,"Realizar alguna tarea, Programar",No,Sí,Sí,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos deberían ser automatizados."
23/05/2023 10:23:07,5/11/2005,Desempleado,0,0,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",No Laburo,Secundaria completa,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Realizar alguna tarea",Si,Sí,Sí,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
23/05/2023 10:23:16,9/02/2006,Desempleado,0,0,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",No Laburo,Secundaria completa,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones",Si,No,Sí,No,Sí,Completamente de acuerdo con respecto a la automatización.
23/05/2023 10:27:22,26/12/2005,Desempleado,0,0,0,"Lima Sur (San Juan de Miraflores, Villa María del Triunfo, Villa el Salvador, Pachacamac, Lurín, Punta Negra, Punta Hermosa, San Bartolo)",No Laburo,Secundaria completa,Agnóstica ,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,Sí,Sí,Sí,Sí,Completamente de acuerdo con respecto a la automatización.
23/05/2023 10:28:23,23/04/2005,Empleado de tiempo completo,0,0,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",No Laburo,Secundaria completa,Católico,"Laptop O Computadora, Tableta, Smartphone",No del todo,Tal vez,No del todo,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,Sí,Sí,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
23/05/2023 10:30:48,26/12/2003,Empleado de medio tiempo,6.5,3,40,"Lima Este (Chosica, San Juan de Lurigancho, Ate, Santa Anita, Cieneguilla, El Agustino)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Secundaria completa,Católico,"Laptop O Computadora, Smartphone",No del todo,Tal vez,Si,Sí,"Realizar alguna tarea, Programar",No,Sí,Sí,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
23/05/2023 10:30:57,9/01/2023,Empleado de tiempo completo,16,3,35,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Secundaria completa,Pastafarismo,"Laptop O Computadora, Smartphone",Sí,Tal vez,Si,Sí,"Obtener información, Realizar alguna tarea, Programar, Otros",No,Sí,Sí,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos deberían ser automatizados."
23/05/2023 10:37:36,6/05/2005,Desempleado,0,0,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Pregrado (Bachiller),Católico,Laptop O Computadora,No del todo,Tal vez,No del todo,Sí,Ninguna,Si,Sí,Sí,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
